"from",                            "subject",                                                    "body"
"binary.poet@codeverse.com",       "Stornierung meiner Bestellung",                              "Sehr geehrtes Team,\r\n\r\nleider muss ich meine Bestellung stornieren. Unser Verein hat sich überraschend aufgelöst und damit macht die Anschaffung keinen Sinn mehr.\r\n\r\nIch hoffe, die Stornierung ist noch möglich.\r\n\r\nBeste Grüße\r\nJulia Programmer\r\n\r\n> Ihre Bestellung #080001 wurde erfolgreich aufgenommen."
"petra.schmidt@web.de",            "Re: Amazon Order 310001",                                    "Sehr geehrte Damen und Herren,\r\n\r\nhiermit möchte ich die Bestellung stornieren. Die angegebene Lieferzeit von 4-5 Wochen ist für mich leider zu lang, da ich die Ausrüstung für ein Turnier benötige.\r\n\r\nBitte bestätigen Sie mir den Erhalt der Stornierung.\r\n\r\nMit freundlichen Grüßen\r\nPetra Schmidt"
"wind.runner@airmail.net",         "Re: Bestellbestätigung",                                     "Hallo,\r\n\r\nleider muss ich die Bestellung doch stornieren. Mein Trainer hat mir von diesem Bogentyp abgeraten, da er für Anfänger zu anspruchsvoll sei.\r\n\r\nIch werde mich erst einmal in unserem Verein weiter beraten lassen.\r\n\r\nMit freundlichen Grüßen\r\nWinfried Läufer"
"time.traveler@chronopost.net",    "Stornierung Bestellung #440001",                             "Sehr geehrte Damen und Herren,\r\n\r\naufgrund einer längeren Krankheit muss ich leider vom Kauf zurücktreten. Bitte stornieren Sie meine Bestellung.\r\n\r\nVielen Dank für Ihr Verständnis.\r\n\r\nMit freundlichen Grüßen\r\nTom Walker"
"dragon.tamer@mythmail.com",       "Re: Your eBay Order #310004 Confirmation",                   "Sehr geehrte Damen und Herren,\r\n\r\nIch möchte hiermit meine Bestellung stornieren.\r\n\r\nMfG\r\nStefan Drache\r\n\r\n> Ihre eBay Bestellung #310004 wurde erfolgreich aufgenommen."
"quantum.baker@cookspace.net",     "Bitte Bestellung stornieren",                                "Hallo,\r\n\r\nich möchte gerne meine aktuelle Bestellung stornieren. Ich habe das gleiche Set bei einem lokalen Händler deutlich günstiger gefunden.\r\n\r\nBitte bestätigen Sie mir die Stornierung.\r\n\r\nViele Grüße\r\nMichael Bäcker"
"archery.newbie@gmail.com",        "Produktanfrage",                                             "Hallo AS ArcherySupplies Team,\r\n\r\nich bin kompletter Anfänger im Bogensport und suche einen geeigneten Recurve-Bogen für den Einstieg. Können Sie mir etwas empfehlen?\r\n\r\nIch bin 1,75m groß und hatte bisher nur einmal einen Schnupperkurs. Der Trainer meinte, ich sollte mit maximal 24# anfangen.\r\n\r\nWelche Bögen hätten Sie da im Angebot? Und was brauche ich noch an Grundausstattung?\r\n\r\nVielen Dank im Voraus!\r\n\r\nBeste Grüße\r\nSandra Neumann"
"robin.hood@sherwood.com",         "Anfrage zu traditionellen Bögen",                            "Guten Tag,\r\n\r\nich bin auf der Suche nach einem traditionellen Langbogen aus Eibe. Haben Sie solche Bögen im Sortiment?\r\n\r\nIch schieße seit 20 Jahren traditionell und suche etwas Besonderes. Der Bogen sollte:\r\n- mindestens 68\" lang sein\r\n- 45-50# auf 28\"\r\n- traditionell verleimt\r\n- aus europäischer Eibe\r\n\r\nFalls Sie solche Bögen führen, würde ich gerne mehr Details erfahren.\r\n\r\nMit bestem Gruß\r\nRobert Hood"
"meta.dreamer@virtualmail.com",    "Re: Order Confirmation #500001",                             "Hallo,\r\n\r\neine kurze Frage zu einem anderen Produkt:\r\nDie Wurfarme von Firma x.y.z, die Sie im Shop haben - gibt es die auch für Linkshandschützen? Ich finde dazu keine Information auf der Webseite.\r\n\r\nDanke und Gruß\r\nMaria Träumer\r\n\r\n> Ihre Bestellung #500001 wurde erfolgreich aufgenommen."
"unknown.archer@yahoo.com",        "Fehlende Lieferung",                                         "Hallo,\r\n\r\nich habe vor zwei Wochen eine Bestellung aufgegeben (Bestellnummer 999999) und bisher keine Lieferung erhalten. Auch keine Versandbestätigung.\r\n\r\nKönnen Sie mir sagen, wo meine Bestellung bleibt? Ich brauche die Ausrüstung dringend.\r\n\r\nAuf der Bestellbestätigung stand 3-5 Werktage Lieferzeit.\r\n\r\nMfG\r\nPeter Unbekannt"
"archer2000@gmail.com",            "Frage zu 3D-Scheiben",                                       "Sehr geehrtes AS ArcherySupplies Team,\r\n\r\nwir sind dabei, einen 3D-Parcours aufzubauen und suchen dafür geeignete Zielscheiben. Haben Sie da Erfahrung?\r\n\r\nWir benötigen etwa 15-20 Scheiben in verschiedenen Größen. Wichtig wäre uns:\r\n- Wetterfestigkeit\r\n- Realistische Darstellung\r\n- Gutes Preis-Leistungs-Verhältnis\r\n- Einfacher Austausch der Kerne\r\n\r\nKönnen Sie uns beraten und ein Angebot machen?\r\n\r\nMit freundlichen Grüßen\r\nMarkus Schütze\r\nBogensportverein Waldblick"
"solar.sailor@spacemail.com",      "Frage zu Pfeilauswahl",                                      "Hallo zusammen,\r\n\r\nich habe mir gerade einen neuen Recurve mit 40# gekauft und brauche dafür passende Pfeile. Welchen Spine-Wert würden Sie mir empfehlen?\r\n\r\nIch bin 1,82m groß und habe eine Auszugslänge von 29,5\". Die Pfeile sollen hauptsächlich für das Training auf 70m verwendet werden.\r\n\r\nWäre toll, wenn Sie mir da weiterhelfen könnten.\r\n\r\nViele Grüße\r\nSebastian Sonnenfeld"
"expert.archer@gmail.com",         "Anfrage Compound-Tuning",                                    "Guten Tag,\r\n\r\nbieten Sie auch Compound-Tuning an? Mein Bow Valley Conquest Pro müsste dringend mal durchgecheckt werden. Das Timing stimmt nicht mehr und ich vermute, dass auch die Nockenposition nicht optimal ist.\r\n\r\nFalls ja - wie lange müsste ich mit der Reparatur rechnen?\r\n\r\nBeste Grüße\r\nKarin Meister"
"traditional.bow@yahoo.com",       "Frage zu Bogensehnen",                                       "Hallo AS ArcherySupplies,\r\n\r\nich suche eine neue Sehne für meinen traditionellen Langbogen. Er hat eine Standhöhe von 7,25\" und 68\" Länge.\r\n\r\nWelches Material würden Sie empfehlen? Ich schwanke zwischen:\r\n- B50 Dacron\r\n- FastFlight Plus\r\n- 8125G\r\n\r\nDer Bogen ist für FastFlight freigegeben.\r\n\r\nDanke im Voraus!\r\nThomas Bogner"
"bow.hunter@web.de",               "Jagdspitzen Beratung",                                       "Guten Tag,\r\n\r\nich suche Jagdspitzen für meine Carbonpfeile (ID 5.5mm). Die Spitzen sollten:\r\n- 125 grain haben\r\n- Sehr scharf sein\r\n- Robust\r\n- Gutes Eindringverhalten\r\n- Leicht zu schärfen\r\n\r\nWas können Sie da empfehlen? Preis spielt erstmal keine Rolle.\r\n\r\nMit freundlichen Grüßen\r\nHorst Jäger"
"worried.archer@gmail.com",        "Status meiner Bestellung",                                   "Sehr geehrte Damen und Herren,\r\n\r\nvor 10 Tagen habe ich bei Ihnen einen Recurve-Bogen bestellt. Leider habe ich bisher keine Versandbestätigung erhalten.\r\n\r\nKönnen Sie mir bitte mitteilen, wann ich mit der Lieferung rechnen kann? Die Bestellnummer ist 280001.\r\n\r\nIch würde gerne mit dem Training beginnen, sobald der Bogen da ist.\r\n\r\nMit freundlichen Grüßen\r\nPetra Sorge"
"night.owl@web.de",                "Stornierung alte Bestellung",                                "Hallo,\r\n\r\nich möchte gerne meine Bestellung von letzter Woche stornieren. Mir ist aufgefallen, dass ich die falsche Bogenlänge gewählt habe.\r\n\r\nDie Bestellnummer ist 070003.\r\n\r\nDanke und Gruß\r\nKlaus Nachteule"
"quick.shot@yahoo.com",            "Re: Bestellung #180001 - Wo bleibt die Lieferung?",          "Liebes AS ArcherySupplies Team,\r\n\r\nich warte nun schon seit über drei Wochen auf meine Lieferung. Im Shop stand eine Lieferzeit von 5-7 Werktagen.\r\n\r\nIch brauche die Ausrüstung dringend für ein Turnier nächste Woche. Bitte geben Sie mir Bescheid, ob die Lieferung noch rechtzeitig kommt.\r\n\r\nBeste Grüße\r\nSandra Schnell"
"zen.archer@gmail.com",            "Stornierung und Neubestellung",                              "Guten Tag,\r\n\r\nbitte stornieren Sie meine aktuelle Bestellung (Nummer 090002). Ich möchte stattdessen gerne das neuere Modell bestellen, das seit gestern im Shop verfügbar ist.\r\n\r\nIch werde direkt im Anschluss eine neue Bestellung aufgeben.\r\n\r\nVielen Dank!\r\nMichael Zen"
"target.master@outlook.com",       "Dringende Nachfrage zur Bestellung",                         "Hallo,\r\n\r\nmeine Bestellung 260001 sollte eigentlich letzte Woche geliefert werden. Leider ist bis heute nichts angekommen.\r\n\r\nIch habe auch versucht, Sie telefonisch zu erreichen, aber niemand geht ans Telefon.\r\n\r\nBitte melden Sie sich dringend bei mir!\r\n\r\nMit besorgten Grüßen\r\nThomas Ziel"
"space.cowboy@frontier.net",       "Stornierung der Bestellung 160001",                          "Sehr geehrte Damen und Herren,\r\n\r\nhiermit möchte ich meine Bestellung 160001 stornieren. Die Lieferzeit ist mir leider zu lang, da ich die Ausrüstung bereits nächste Woche benötige.\r\n\r\nBitte bestätigen Sie mir den Eingang dieser Stornierung.\r\n\r\nBeste Grüße\r\nSteve Space"
